age,pages_viewed,session_time,cart_additions,email_click_rate,notification_response_rate,estimated_order_value,actual_order_value,discount_usage_ratio,return_rate,conversion
56,9,19.01694842983325,3,0.2881025037367676,0.25249282444785537,1452.3594678340808,1734.4691739570799,0.4096728837028234,0.059776235262147474,1
46,7,21.70845546008484,1,0.38620534962306696,0.26228813060728423,910.3787962180627,0.0,0.13614952522173804,0.05580705251485256,0
32,7,26.4196012979064,2,0.30579769273041413,0.24492809809507182,457.3487848663408,0.0,0.31636976172506426,0.12303415389121616,0
25,15,48.57688346874945,3,0.39095805454238935,0.09431522097141831,901.5752206910931,793.4873459255708,0.0484658771345363,0.15457491837365148,1
38,13,28.15105220720725,4,0.47325200663406564,0.30419419850930224,1496.9383308086378,1416.1634833778585,0.19872516051003294,0.24826626080668274,1
56,6,12.73962394075533,1,0.3856917873708159,0.23769796372768204,918.9820528232297,0.0,0.34128800872457177,0.16582456637891185,0
36,13,20.942927086212745,4,0.2768920788348427,0.0,1797.897921198526,2031.4624500518632,0.3377841885490254,0.0059115277133620844,1
40,9,25.012283818133444,2,0.2183523492530175,0.09121151922836729,1068.8540069290675,0.0,0.1524495513383233,0.10750233912009181,0
28,8,22.388676867898347,2,0.4156206922897171,0.20265437629131028,1443.9184265049983,1705.7699025324598,0.2583397487619323,0.0879815647999532,1
28,5,11.046545180040352,1,0.3412971499507599,0.37785962933196793,626.0637706214842,719.1900003851044,0.05672345269410586,0.0527028073758996,1
41,6,22.756652418280687,2,0.1708850224507818,0.31077154630593284,1072.0449549932914,0.0,0.2846361932726486,0.18171554970214024,0
53,6,15.956760538862012,2,0.49532733097314635,0.1812848791292445,834.1203800103167,793.0080519779851,0.06933634982085966,0.12790188917654718,1
57,5,17.541020971130983,0,0.3393244725725483,0.23093004406510764,927.7904774028075,926.662231990847,0.7465417325038909,0.007603016484432733,1
41,8,27.361687973370685,1,0.3979370214510163,0.36045431757992896,687.7020987802395,0.0,0.25701415554456525,0.030218720966700186,0
20,10,33.142213691861244,1,0.2411972198002217,0.18836672792917364,417.1526517241781,0.0,0.29825392155341596,0.07421619070821531,0
39,8,33.79358785161536,1,0.4696072671829542,0.14140445387027686,352.0771667744356,0.0,0.19864427602223694,0.011577028114121887,0
19,7,10.833692431563101,2,0.06219625969925918,0.3380548562435112,960.6488968462291,1100.2449584290198,0.07009180842722887,0.012186153389593592,1
41,8,13.632895460242647,2,0.5513246244016193,0.3616068715143071,1445.2916152016778,1492.194091538772,0.4558892492649547,0.047512472326890653,1
47,5,18.33210975524981,1,0.009174080971731391,0.18951035938867872,1008.0081488435094,0.0,0.3498116161571248,0.1259569184546999,0
55,10,25.60577756937431,3,0.09350672016561709,0.2987612800755276,1314.0388099903148,1513.2815619789392,0.28024902557567266,0.013972508508098617,1
19,11,49.055239045643894,2,0.3377745356769533,0.2459400101470027,682.5646634843644,0.0,0.31248802689964533,0.14116672822957035,0
38,12,25.790858011172237,2,0.22038658007919343,0.1909332925329617,974.7293991552449,0.0,0.22020882185313564,0.16302355421730289,0
